price,latitude,longitude,baths,bedrooms,Total_Area,PropertyType
6500000,31.457976,74.32028,0,4,1089.004,0
5000000,31.577437,74.313535,3,4,544.502,0
2050000,31.412989,74.214785,1,2,816.7529999999999,0
2290000,31.617847,74.217387,2,2,816.7529999999999,0
2100000,31.429249,74.230785,1,2,816.7529999999999,0
2395000,31.587028,74.495264,1,1,544.502,0
10000000,31.317861,74.21814,0,3,2994.7609999999995,0
18500000,31.463563,74.245571,0,0,2450.259,0
1990000,31.6135443,74.2114715,2,2,816.7529999999999,0
2490000,31.485627,74.121572,2,2,816.7529999999999,0
18000000,31.533262,74.316587,0,5,1361.255,0
1900000,31.375165,74.253992,1,2,816.7529999999999,0
3495000,31.587028,74.495264,2,2,816.7529999999999,0
1950000,31.412989,74.214785,1,2,7623.027999999999,0
3500000,31.469155,74.470553,2,1,2722.51,0
25000,31.380313,74.187183,0,0,1361.255,0
1800000,31.375165,74.253992,1,2,816.7529999999999,0
3500000,31.412989,74.214785,2,2,1361.255,0
7000000,31.491261,74.415629,3,3,1361.255,0
7500000,31.556446,74.413542,4,4,1089.004,0
2500000,31.570214,74.281473,0,3,1361.255,0
2200000,31.499458,74.417818,2,2,816.7529999999999,0
2290000,31.6135443,74.2114715,1,2,816.7529999999999,0
8000000,31.556446,74.413542,3,3,1089.004,0
4500000,31.423683,74.190931,3,3,5445.0,0
2290000,31.617847,74.217387,0,0,816.7529999999999,0
9000000,31.556446,74.413542,3,3,1089.004,0
2290000,31.6135443,74.2114715,0,2,816.7529999999999,0
30000,31.374195,74.191482,2,2,2178.008,0
12000,31.410095,74.222553,2,2,816.7529999999999,0
25000,31.432105,74.349117,2,2,1361.255,0
3400000,31.470028,74.321749,1,2,1361.255,0
2300000,31.412989,74.21478,1,2,7623.027999999999,0
50000,31.483283,74.395723,0,0,5445.0,0
9500000,31.56742,74.291897,3,6,1361.255,0
10000000,31.579238,74.324399,1,3,816.7529999999999,0
3900000,31.470253,74.214306,1,2,816.7529999999999,0
1725000,31.375165,74.253992,1,2,816.7529999999999,0
23000,31.436646,74.267135,2,3,2722.51,0
2290000,31.6135443,74.2114715,2,2,816.7529999999999,0
2200000,31.411377,74.365253,1,2,6806.275,0
3000000,31.55469603,74.3126094,0,2,1089.004,1
2490000,31.485627,74.121572,2,2,816.7529999999999,1
23000,31.428688,74.346021,0,0,1361.255,1
2490000,31.6135443,74.2114715,1,2,816.7529999999999,1
2800000,31.496091,74.393234,0,4,6806.275,1
2100000,31.375165,74.253992,2,2,816.7529999999999,1
2300000,31.375165,74.253992,2,2,816.7529999999999,1
44,31.55081749,74.39640808,3,3,4356.016,1
2350000,31.375165,74.253992,1,2,816.7529999999999,1
18000000,31.40537,74.257078,5,5,5445.0,1
4050000,31.381284,74.251868,2,2,1361.255,1
2490000,31.617847,74.217387,0,0,816.7529999999999,1
10500000,31.453414,74.31623,0,0,1633.506,1
3500000,31.470028,74.321749,1,2,1361.255,1
2200000,31.454618,74.368249,2,2,544.502,1
3500000,31.496091,74.393234,0,2,816.7529999999999,1
4500000,31.496091,74.393234,0,4,12251.294999999998,1
16500000,31.374121,74.26285,3,3,5445.0,1
3500000,31.412989,74.214785,0,0,1361.255,1
2395000,31.587028,74.495264,0,0,544.502,1
27000000,31.431593,74.179974,0,0,5445.0,1
2500000,31.496091,74.393234,0,2,6806.275,1
2290000,31.485627,74.121572,2,2,816.7529999999999,1
12500000,31.550818,74.37923,2,2,1089.004,1
2490000,31.617847,74.217387,2,2,816.7529999999999,1
2490000,31.485627,74.121572,3,3,816.7529999999999,1
28000,31.469082,74.266148,0,0,1361.255,1
57000000,31.478891,74.329348,2,3,5445.0,1
3200000,31.470253,74.214306,1,2,816.7529999999999,1
3500000,31.470028,74.321749,1,3,1361.255,1
2250000,31.375165,74.253992,1,2,816.7529999999999,1
5000000,31.522288,74.287734,0,4,1633.506,1
2100000,31.375165,74.253992,1,2,816.7529999999999,1
2500000,31.470028,74.321749,0,0,816.7529999999999,1
50000,31.465422,74.385309,2,2,2722.51,1
2600000,31.496091,74.393234,0,4,6806.275,1
70000,31.522361,74.347173,2,2,3267.012,1
5500000,31.496091,74.393234,0,6,1633.506,1
4100000,31.381284,74.251868,2,2,1361.255,1
7500000,31.511752,74.278293,0,5,2722.51,1
3300000,31.375165,74.253992,1,2,1361.255,1
24000,31.455831,74.366541,2,2,2178.008,1
2300000,31.375165,74.253992,1,2,816.7529999999999,1
30000,31.478891,74.329348,0,0,2722.51,1
7212000,31.380313,74.187183,0,0,7350.776999999999,2
2400000,31.412989,74.214785,1,2,816.7529999999999,2
16000000,31.460187,74.432459,5,4,3267.012,2
3000000,31.381284,74.251868,1,3,816.7529999999999,2
2700000,31.452023,74.26255,1,1,4900.518,2
9500000,31.544308,74.383832,3,3,2722.51,2
20000000,31.460187,74.432459,4,4,3267.012,2
4000000,31.517283,74.282823,1,2,9528.785,2
20000000,31.528032,74.330063,0,2,15518.307,2
19000000,31.533849,74.409633,3,3,2994.7609999999995,2
24100000,31.465422,74.385309,2,2,19602.072,2
20500000,31.460187,74.432459,3,3,2722.51,2
15600000,31.460187,74.432459,3,3,2722.51,2
1420000,31.40396,74.214497,2,2,816.7529999999999,2
9000000,31.486851,74.408146,4,3,1905.757,2
2500000,31.533262,74.316587,1,2,544.502,2
3600000,31.380313,74.187183,1,1,6534.023999999999,2
4800000,31.317861,74.21814,1,2,1361.255,2
2800000,31.374195,74.191482,1,1,7078.526,2
3000000,31.559961,74.303176,1,2,6806.275,2
2395000,31.409619,74.166126,1,1,544.502,2
3900000,31.40537,74.257078,1,2,816.7529999999999,2
3000000,31.317861,74.21814,1,2,1089.004,2
3600000,31.364887,74.186554,1,1,6261.772999999999,2
1440000,31.40396,74.214497,2,2,816.7529999999999,2
12200000,31.460187,74.432459,3,3,2722.51,2
6500000,31.584531,74.372978,4,4,1089.004,2
20000000,31.460187,74.432459,3,3,2722.51,2
3500000,31.570214,74.281473,1,2,816.7529999999999,2
20000000,31.544308,74.383832,0,3,2722.51,2
12600000,31.466814,74.381748,1,1,7623.027999999999,2
16000000,31.460188,74.43246,4,4,3267.012,2
20000000,31.533849,74.409633,4,3,2722.51,2
11700000,31.460187,74.432459,3,3,2722.51,2
4410000,31.360307,74.185731,1,1,5989.521999999999,2
21500000,31.533849,74.409633,5,4,3267.012,2
2000000,31.375165,74.253992,2,2,816.7529999999999,2
1800000,31.40396,74.214497,2,2,816.7529999999999,2
5100000,31.374414,74.177749,1,1,544.502,2
2200000,31.471351,74.261484,0,0,3267.012,2
13800000,31.460187,74.432459,3,3,2722.51,2
29000000,31.466814,74.381748,4,3,19602.072,2
1500000,31.362173,74.282136,1,2,1361.255,2
5500000,31.522361,74.347173,2,2,10345.538,2
15000000,31.461468,74.415529,2,1,9528.785,2
37000000,31.461468,74.415529,2,2,19874.323,2
3500000,31.374414,74.177749,1,1,5989.521999999999,2
17100000,31.466814,74.381748,1,1,10617.789,2
3000000,31.572526,74.381002,0,0,3811.514,2
6958000,31.290941,74.227944,2,2,17696.315,2
19800000,31.498507,74.339025,4,3,2722.51,2
1400000,31.460187,74.432459,3,3,2722.51,2
2500000,31.47294448,74.30206664,0,0,3539.263,2
13700000,31.460187,74.432459,4,3,2722.51,2
16700000,31.536408,74.416037,5,3,2722.51,2
1300000,31.560697,74.421326,0,0,816.7529999999999,2
3000000,31.559198,74.351165,2,2,544.502,2
3517000,31.4364749,74.26094055,1,2,544.502,2
12500000,31.416981,74.272506,2,2,1905.757,2
13200000,31.46018791,74.43245697,3,3,2722.51,2
6900000,31.539206,74.305515,2,4,1361.255,2
3200000,31.471351,74.261484,1,1,4900.518,2
3000000,31.429249,74.230785,1,1,7895.278999999999,2
2900000,31.402513,74.292798,1,2,8439.780999999999,2
5000000,31.547727,74.326054,0,0,1361.255,2
4750000,31.329958,74.215204,0,2,11434.542,2
2700000,31.315221,74.205594,1,2,1361.255,2
18500000,31.460187,74.432459,4,4,3267.012,2
12000000,31.544308,74.383832,2,3,2450.259,2
3800000,31.471351,74.261484,2,1,544.502,2
2400000,31.375165,74.253992,1,2,816.7529999999999,2
4500000,31.374195,74.191482,1,1,5989.521999999999,2
2400000,31.559961,74.30318,1,3,6806.275,2
2800000,31.471351,74.261484,1,1,4628.267,2
18000000,31.498507,74.339025,3,3,2722.51,2
2250000,31.348926,74.273323,2,2,1361.255,2
15000000,31.498507,74.339025,0,0,2722.51,2
17500000,31.544308,74.383832,3,3,2722.51,2
3600000,31.376356,74.263701,2,2,1361.255,2
900000,31.360307,74.185731,1,1,6534.023999999999,2
6000000,31.475414,74.308519,2,2,1361.255,2
3600000,31.566287,74.298735,2,3,6806.275,2
4500000,31.517283,74.282823,2,2,1089.004,2
1800000,31.533262,74.316587,2,2,272.251,2
4000000,31.376356,74.263701,0,2,1361.255,2
1450000,31.40396,74.214497,2,2,816.7529999999999,2
3200000,31.540855,74.314871,1,1,4900.518,2
5000000,31.375514,74.172735,1,1,6261.772999999999,2
4500000,31.476146,74.312203,2,2,544.502,2
18000000,31.529521,74.378495,4,3,30219.861,2
5500000,31.524483,74.29872,2,3,1361.255,2
7000000,31.318439,74.225283,0,3,1905.757,2
7500000,31.537359,74.330707,2,2,1905.757,2
3200000,31.551184,74.284058,0,2,9256.534,2
1250000,31.40396,74.214497,2,2,816.7529999999999,2
18500000,31.533849,74.409633,0,3,2722.51,2
13000000,31.498507,74.339025,3,3,2722.51,2
14000000,31.460187,74.432459,3,3,2722.51,2
2300000,31.522361,74.347172,0,0,4356.016,2
4000000,31.58263,74.384136,0,0,1361.255,2
4392000,31.360307,74.185731,1,1,5989.521999999999,2
36500000,31.522361,74.347173,2,2,19329.821,2
6300000,31.455098,74.402976,0,0,1089.004,2
4200000,31.517283,74.282823,1,2,9528.785,2
19000000,31.536408,74.416037,4,3,2722.51,2
2800000,31.554636,74.31665,0,0,544.502,2
5000000,31.385516,74.188857,1,1,5717.271,2
13000000,31.5288,74.39312,0,0,2722.51,2
7900000,31.53934997,74.31523662,2,4,1361.255,2
1872000,31.381831,74.364375,1,1,5717.271,2
3300000,31.331876,74.212652,1,1,7623.027999999999,2
2300000,31.524244,74.34611,1,1,4356.016,2
3600000,31.315221,74.205594,1,2,1361.255,2
2290000,31.6135443,74.2114715,2,2,816.7529999999999,2
4635000,31.360307,74.185731,1,1,6261.772999999999,2
2395000,31.587028,74.495264,1,1,5717.271,2
2200000,31.471351,74.261484,1,1,7350.776999999999,2
5000000,31.374195,74.191482,1,1,7623.027999999999,2
2200000,31.348926,74.273323,2,2,1361.255,2
