,price,latitude,longitude,baths,bedrooms,Total_Area,PropertyType
0,220000000,31.48386866,74.3256855,0,0,32670.0,5
1,40000000,31.431593,74.17998,5,5,5445.0,5
2,9500000,31.499348,74.416959,0,3,2450.259,5
3,125000000,31.522069,74.355512,7,8,5445.0,5
4,21000000,31.506483,74.286017,5,6,2994.7609999999995,5
5,52000000,31.495909,74.350569,6,5,5445.0,5
6,16500000,31.421229,74.28556,7,6,2178.008,5
7,32500000,31.439978,74.209685,0,5,5445.0,5
8,31500000,31.437744,74.21349,0,6,5445.0,5
9,40000000,31.409106,74.181662,0,6,87120.0,5
10,13500000,31.441113,74.239683,4,4,20418.825,5
11,87500000,31.542114,74.355898,5,4,65340.0,5
12,16500000,31.500557,74.36773,0,4,2722.51,5
13,18500000,31.381706,74.195294,0,0,2722.51,5
14,23500000,31.537239,74.420211,4,4,2722.51,5
15,22500000,31.473474,74.429569,4,4,5445.0,5
16,50000000,31.441625,74.224648,7,6,4900.518,5
17,39500000,31.526312,74.347959,6,6,2722.51,5
18,27500000,31.533161,74.419481,5,4,3267.012,5
19,40000000,31.567912,74.399192,3,6,2994.7609999999995,5
20,45000000,31.537239,74.420211,6,5,5445.0,5
21,3200000,31.450925,74.354287,2,3,816.7529999999999,5
22,21200000,31.536068,74.408666,4,3,2722.51,5
23,23000000,31.537458,74.413323,5,4,2722.51,5
24,21500000,31.53327,74.41358,5,4,2722.51,5
25,21500000,31.533161,74.419481,5,4,2722.51,5
26,40000000,31.537458,74.413323,6,5,5445.0,5
27,26000000,31.533161,74.419481,5,4,2722.51,5
28,21000000,31.537458,74.413323,4,4,2722.51,5
29,23000000,31.53327,74.41358,5,4,2722.51,5
30,23000000,31.533161,74.419481,6,5,2722.51,5
31,57500000,31.439978,74.209685,5,5,5445.0,5
33,5500000,31.590234,74.300365,3,3,6806.275,5
34,50000000,31.53842,74.352357,6,5,5445.0,5
35,12000000,31.49858,74.40927,6,6,2178.008,5
36,65000000,31.40537,74.257078,0,0,10890.0,5
38,42500000,31.551184,74.284058,8,8,59895.0,5
39,66500000,31.400096,74.259682,0,0,10890.0,5
40,12000000,31.597234,74.474513,5,5,1633.506,5
41,40000000,31.437744,74.21349,7,6,5445.0,5
42,180000000,31.505678,74.348202,7,5,255915.0,5
43,17000000,31.441992,74.291389,6,5,26408.347,5
44,47500000,31.434668,74.214005,0,0,5445.0,5
45,17000000,31.530739,74.456184,5,5,2722.51,5
46,25000000,31.402513,74.292798,5,4,4900.518,5
47,17600000,31.374195,74.191482,6,5,2722.51,5
48,17500000,31.374195,74.191482,6,5,2722.51,5
49,35000000,31.533849,74.409633,5,4,4628.267,5
50,22000000,31.537458,74.413323,5,4,2722.51,5
51,23500000,31.533161,74.419481,6,5,2722.51,5
52,41500000,31.533161,74.419481,6,5,5445.0,5
53,23000000,31.533161,74.419481,5,4,2722.51,5
54,20500000,31.536068,74.408666,4,3,2722.51,5
55,21000000,31.536068,74.408666,4,3,2722.51,5
56,19200000,31.443749,74.259152,7,5,2722.51,5
57,7700000,31.533372,74.451342,4,3,1089.004,5
58,21500000,31.469155,74.470553,5,4,2722.51,5
59,11800000,31.374414,74.177749,4,3,1361.255,5
60,26500000,31.469155,74.470553,5,4,3811.514,5
61,70000000,31.469155,74.470553,7,6,10890.0,5
62,49500000,31.469155,74.470553,6,5,5445.0,5
63,12500000,31.539206,74.305515,3,2,14973.804999999998,5
64,36000000,31.533849,74.409633,5,4,4628.267,5
65,36000000,31.471571,74.445906,6,5,5445.0,5
66,51000000,31.466227,74.427137,6,5,5445.0,5
67,20000000,31.37108,74.190316,7,5,2722.51,5
68,6000000,31.518337,74.297862,2,3,544.502,5
69,5500000,31.518337,74.297862,2,3,544.502,5
70,65000000,31.526751,74.337072,0,0,59895.0,5
71,35000000,31.465422,74.385309,6,5,5445.0,5
72,52500000,31.466227,74.440012,6,5,5445.0,5
73,35000000,31.505678,74.348202,8,5,3267.012,5
74,22500000,31.537458,74.413323,5,5,2722.51,5
75,22500000,31.57443055,74.44369633,5,4,2722.51,5
76,23500000,31.71727872,74.45599191,4,4,2722.51,5
77,15500000,31.521703,74.298978,5,5,22324.582,5
78,37000000,31.533849,74.409633,5,4,4628.267,5
79,28000000,31.536068,74.408666,4,4,3267.012,5
80,23500000,31.53327,74.41358,5,4,2722.51,5
81,22000000,31.53327,74.41358,6,5,2722.51,5
82,21500000,31.537239,74.420211,5,4,2722.51,5
83,22500000,31.533161,74.419481,5,4,2722.51,5
84,60000000,31.521776,74.343538,0,0,5445.0,5
87,3200000,31.54913521,74.31511688,2,2,816.7529999999999,2
88,59800000,31.462493,74.409342,7,6,5445.0,5
89,66000000,31.469155,74.470553,6,6,10890.0,5
91,160000000,31.542114,74.355898,6,5,5445.0,5
92,8000000,31.47388388,74.32908019,3,2,816.7529999999999,5
94,22500000,31.5078,74.318733,0,0,1905.757,2
95,17000000,31.581615,74.341853,4,5,1905.757,5
96,59500000,31.462493,74.409342,6,5,5445.0,5
97,39500000,31.471571,74.445906,7,5,5445.0,5
98,16500000,31.525956,74.342206,4,4,1361.255,5
99,13000000,31.544308,74.383832,3,3,27497.351,2
100,60000000,31.521557,74.261012,0,0,5445.0,5
101,175000000,31.5078,74.318733,0,0,239580.0,5
102,110000000,31.462493,74.409342,6,6,10890.0,5
103,47000000,31.466007,74.448338,6,5,5445.0,5
104,54000000,31.495909,74.350569,6,5,5445.0,5
105,53500000,31.495909,74.350569,6,5,5445.0,5
106,34500000,31.495909,74.350569,5,4,3811.514,5
107,57500000,31.462493,74.409342,7,6,5445.0,5
108,45000000,31.5288,74.39312,4,3,4083.765,5
109,45000000,31.388758,74.185073,4,5,92565.0,5
110,30000000,31.413758,74.239726,6,5,5445.0,5
111,42000000,31.471571,74.445906,6,5,5445.0,5
112,42800000,31.471571,74.445906,6,5,5445.0,5
113,46000000,31.467105,74.459581,6,5,5445.0,5
114,4500000,31.550672,74.403963,3,3,544.502,5
115,21000000,31.504068,74.277177,7,7,2722.51,5
116,67500000,31.469155,74.470553,8,7,10890.0,5
117,57500000,31.46835,74.401603,6,5,5445.0,5
118,59000000,31.458686,74.406624,6,5,5445.0,5
119,13500000,31.413355,74.239926,5,5,2722.51,5
120,7000000,31.46278146,74.43301141,2,2,1633.506,2
121,9000000,31.551184,74.284058,4,3,816.7529999999999,5
122,45000000,31.462493,74.409342,8,6,5445.0,5
123,5100000,31.374414,74.177749,1,1,544.502,2
124,12500000,31.387824,74.193242,3,3,2178.008,5
125,12500000,31.394711,74.177392,3,2,2722.51,5
126,30000000,31.351625,74.229898,5,5,65340.0,5
127,90000000,31.462347,74.293642,0,0,27225.0,5
128,15500000,31.409619,74.166126,5,3,2722.51,5
129,65000000,31.5288,74.39312,5,4,5445.0,5
130,80000000,31.500556,74.367728,6,5,10890.0,5
131,13700000,31.550672,74.403963,6,5,3539.263,5
132,52500000,31.495909,74.350569,5,5,5445.0,5
133,34000000,31.452023,74.26255,5,5,5445.0,5
134,75000000,31.478379,74.319921,0,0,81675.0,5
135,37500000,31.438916,74.211559,0,0,2722.51,5
136,102500000,31.478745,74.407969,8,7,10890.0,5
137,11500000,31.426924,74.342333,4,3,1361.255,5
138,42500000,31.471571,74.445906,6,5,5445.0,5
139,200000000,31.435401,74.195094,10,10,21780.0,5
140,11000000,31.434522,74.266148,0,0,1361.255,5
141,10000000,31.432105,74.349117,2,2,1361.255,5
142,11500000,31.433607,74.344912,4,3,1361.255,5
143,190000000,31.486504,74.316745,0,0,21780.0,5
144,18800000,31.446824,74.404736,5,4,2722.51,5
145,11000000,31.3878231,74.19324493,3,3,1361.255,5
146,56000000,31.506483,74.286017,5,5,5445.0,5
147,23600000,31.462493,74.409342,6,4,2722.51,5
148,37000000,31.533849,74.409633,0,4,4628.267,5
149,38000000,31.533849,74.409633,0,4,4628.267,5
150,50000000,31.506008,74.293156,0,0,5445.0,5
151,10900000,31.390645,74.252887,4,4,1361.255,5
152,5600000,31.410095,74.222553,4,3,816.7529999999999,5
153,33000000,31.462493,74.409342,5,4,2722.51,5
154,29500000,31.462493,74.409342,5,4,2722.51,5
155,75000000,31.5288,74.39312,6,5,76230.0,5
156,7900000,31.6064955,74.23177332,4,3,2722.51,5
157,45000000,31.487455,74.468894,6,5,5445.0,5
158,20000000,31.500556,74.367728,6,6,2722.51,5
159,100000000,31.500556,74.367728,6,5,10890.0,5
160,32500000,31.446824,74.404736,6,5,5445.0,5
161,34000000,31.446824,74.404736,6,5,5445.0,5
162,52500000,31.54916695,74.31801036,5,5,5445.0,5
163,160000000,31.505678,74.348202,5,3,10890.0,5
164,40000000,31.495909,74.350569,4,4,3811.514,5
165,54500000,31.495909,74.350569,0,0,5445.0,5
166,52500000,31.495909,74.350569,6,5,5445.0,5
167,140000000,31.522361,74.347172,0,0,10890.0,5
168,19000000,31.498507,74.339025,4,3,2722.51,2
169,55000000,31.495909,74.350569,5,5,5445.0,5
170,37500000,31.495909,74.350569,4,4,3811.514,5
171,32000000,31.495427,74.423858,7,5,70785.0,5
172,10000000,31.484967,74.4104,3,3,1089.004,5
173,44500000,31.462493,74.409342,6,5,5445.0,5
174,9000000,31.490127,74.418805,0,3,1361.255,5
175,7800000,31.490127,74.418805,0,3,11706.793,5
176,33000000,31.446824,74.404736,6,5,5445.0,5
177,75000000,31.5078,74.318733,0,0,10890.0,5
178,55000000,31.466007,74.448338,0,5,5445.0,5
179,33500000,31.495909,74.350569,4,4,3811.514,5
180,200000000,31.5288,74.39312,6,5,87120.0,5
181,65000000,31.5288,74.39312,6,5,5445.0,5
182,6550000,31.470253,74.214306,2,3,1089.004,5
183,51500000,31.529092,74.382048,0,0,65340.0,5
184,42500000,31.462493,74.409342,6,5,5445.0,5
185,39900000,31.462493,74.409342,6,5,2722.51,5
186,16900000,31.385627,74.196817,6,5,2178.008,5
187,6000000,31.478013,74.304285,3,3,1361.255,2
188,7200000,31.381284,74.251868,2,3,1361.255,5
189,14500000,31.498507,74.33903,3,3,2722.51,2
190,11500000,31.374249,74.176404,4,3,1361.255,5
191,17600000,31.364887,74.186554,6,5,2722.51,5
192,11000000,31.56069756,74.42132568,4,3,1633.506,5
193,5000000,31.482881,74.418933,4,3,6806.275,5
194,26800000,31.420167,74.285746,6,5,5445.0,5
195,40000000,31.438916,74.211559,6,5,87120.0,5
196,47000000,31.409546,74.258466,0,0,10890.0,5
197,4000000,31.425257,74.383922,2,2,816.7529999999999,5
199,32900000,31.471571,74.445906,5,4,2722.51,5
200,47000000,31.475378,74.373808,6,5,5445.0,5
201,37000000,31.471571,74.445906,6,5,5445.0,5
202,37500000,31.478745,74.407969,6,5,5445.0,5
203,8200000,31.421266,74.283972,4,4,1089.004,5
204,70000000,31.486906,74.385896,8,8,119790.0,5
205,62500000,31.471571,74.445906,6,5,5445.0,5
206,16000000,31.582612,74.416838,5,5,1905.757,5
207,44000000,31.471571,74.445906,6,5,5445.0,5
208,45000000,31.465422,74.385309,6,5,5445.0,5
209,41000000,31.471571,74.445906,6,5,5445.0,5
210,26000000,31.460187,74.432459,4,4,3267.012,5
211,52500000,31.462493,74.409342,6,5,5445.0,5
212,26500000,31.420167,74.285746,7,6,5445.0,5
213,46000000,31.512228,74.325078,5,5,5445.0,5
214,14500000,31.460187,74.432459,5,4,2994.7609999999995,2
215,19700000,31.533849,74.409633,4,3,2722.51,2
216,12500000,31.584485,74.481428,0,5,2178.008,5
217,49000000,31.471571,74.445906,6,5,5445.0,5
218,3600000,31.376356,74.263701,2,2,1361.255,2
219,38000000,31.461468,74.415529,3,3,26680.598,2
220,29500000,31.471571,74.445906,5,4,2722.51,5
221,27000000,31.494408,74.437666,4,3,2722.51,5
222,5300000,31.375165,74.253992,2,2,816.7529999999999,5
223,26500000,31.552647,74.385338,0,3,5445.0,5
224,23500000,31.494408,74.437666,6,4,2722.51,5
225,45000000,31.471571,74.445906,6,5,5445.0,5
226,27500000,31.462493,74.409342,5,4,2722.51,5
227,11500000,31.375514,74.172735,4,3,1361.255,5
228,7200000,31.626564,74.281826,3,4,1905.757,5
229,60000000,31.471571,74.445906,6,5,5445.0,5
230,39500000,31.462493,74.409342,6,5,5445.0,5
231,45000000,31.462493,74.409342,6,5,5445.0,5
232,14500000,31.48601326,74.3803312,4,4,1633.506,5
233,22500000,31.374451,74.183121,7,5,3267.012,5
234,27500000,31.471571,74.445906,5,4,2722.51,5
235,108500000,31.478745,74.407969,7,7,10890.0,5
236,32500000,31.483283,74.395723,6,5,5445.0,5
237,47500000,31.462493,74.452372,6,5,5445.0,5
238,45000000,31.467105,74.459581,6,5,5445.0,5
239,43200000,31.471571,74.445906,6,5,5445.0,5
240,53000000,31.471132,74.445162,6,5,5445.0,5
241,20500000,31.446824,74.404736,5,4,2722.51,5
242,47500000,31.462493,74.409342,6,5,5445.0,5
243,31000000,31.537458,74.413323,0,5,3267.012,5
244,31500000,31.483283,74.395723,6,5,5445.0,5
245,39000000,31.462493,74.409342,5,4,2722.51,5
246,25000000,31.461761,74.36834,4,4,2722.51,5
247,29000000,31.462493,74.409342,5,4,2722.51,5
248,19500000,31.550818,74.39641,5,4,2722.51,5
249,43500000,31.471571,74.445906,6,5,5445.0,5
250,32000000,31.462493,74.409342,5,4,2722.51,5
251,17500000,31.371391,74.170096,7,5,2722.51,5
252,41700000,31.471571,74.445906,6,5,5445.0,5
253,18000000,31.52814363,74.26180065,4,4,2722.51,5
254,5500000,31.499216,74.349013,2,2,1361.255,5
255,24000000,31.547381,74.393892,3,3,2722.51,5
256,8200000,31.593305,74.309363,3,3,816.7529999999999,5
257,110000000,31.512228,74.325078,0,0,119790.0,5
258,19000000,31.494993,74.27294,4,5,2722.51,5
259,57500000,31.49797599,74.34614539,5,5,5445.0,5
260,9000000,31.477098,74.357271,4,4,1361.255,5
261,23500000,31.467838,74.39126,5,4,2722.51,5
262,15000000,31.534984,74.294887,6,5,1633.506,5
263,47500000,31.528941,74.454131,8,7,5445.0,5
264,35000000,31.513142,74.436994,6,5,5445.0,5
265,32000000,31.471571,74.445906,5,4,2722.51,5
266,20000000,31.495945,74.37718,3,3,2722.51,5
267,37500000,31.465788,74.237881,6,6,5445.0,5
268,41500000,31.471571,74.445906,6,5,5445.0,5
269,35000000,31.475378,74.373808,6,5,5445.0,5
270,37500000,31.456892,74.392118,6,5,5445.0,5
271,110000000,31.469155,74.470553,7,6,10890.0,5
272,42500000,31.478745,74.407969,6,5,5445.0,5
273,47000000,31.462493,74.409342,6,5,5445.0,5
274,22200000,31.547381,74.393892,3,3,2722.51,5
275,45000000,31.466007,74.448338,6,5,5445.0,5
276,30000000,31.462493,74.409342,6,5,2722.51,5
277,21000000,31.486504,74.404778,5,4,2722.51,5
278,10500000,31.524191,74.453995,3,3,1361.255,5
279,50000000,31.452023,74.26255,7,5,4900.518,5
280,67800000,31.462493,74.409342,7,6,5445.0,5
281,47500000,31.467545,74.4207,0,5,5445.0,5
282,60000000,31.478672,74.375424,6,5,5445.0,5
283,13500000,31.460187,74.432459,3,3,31036.614,2
284,13700000,31.460187,74.432459,3,3,31036.614,2
285,5000000,31.364887,74.186554,1,1,5989.521999999999,2
286,14500000,31.398118,74.254746,2,3,2722.51,5
287,9000000,31.587028,74.495264,4,3,1361.255,5
288,9500000,31.56722838,74.28805947,4,4,9528.785,5
289,37000000,31.378774,74.190316,5,4,65340.0,5
290,125000000,31.516215,74.440309,9,9,10890.0,5
291,8500000,31.492615,74.265647,4,4,1361.255,5
292,18000000,31.443383,74.286325,7,6,2994.7609999999995,5
293,37000000,31.374195,74.191482,4,5,5445.0,5
294,9000000,31.5019736,74.24734354,3,3,1361.255,5
295,22500000,31.434522,74.266148,6,5,2722.51,5
296,137500000,31.46928107,74.29827467,5,5,5445.0,5
297,6500000,31.563398,74.3891,3,5,1089.004,5
298,9000000,31.521557,74.261012,0,0,10073.286999999998,5
299,30000000,31.471571,74.445906,6,5,2722.51,5
300,3800000,31.596965,74.238197,1,2,1361.255,5
301,21500000,31.494994,74.272943,3,3,2722.51,5
302,16200000,31.440527,74.271426,3,2,2722.51,5
303,6700000,31.53937,74.312874,0,0,816.7529999999999,5
304,14500000,31.499216,74.349013,4,5,1633.506,5
305,17500000,31.518337,74.29786,5,5,17696.315,5
306,3900000,31.458687,74.35933,2,3,544.502,5
307,14500000,31.501179,74.44713,0,3,2450.259,2
308,8800000,31.448106,74.257057,4,2,1361.255,5
309,37500000,31.473474,74.429569,8,6,5445.0,5
310,39000000,31.537239,74.420211,7,6,5445.0,5
311,26000000,31.537239,74.420211,4,4,3267.012,5
312,12500000,31.43205949,74.34195042,4,4,1361.255,5
313,21500000,31.471571,74.445906,5,4,1905.757,5
314,32500000,31.483283,74.395723,5,5,5445.0,5
